Count	Name	Example1	Example2	Example3	Example4	Example5
86	Mayor Nathan Phillips	Mayor Nathan Phillips with Princess Margaret in reception line on platform at Old City Hall	Sir Ernest MacMillan receives silver tray from Mayor Nathan Phillips upon his retirement as conductor of the Toronto Symphony Orchestra, mayor's office, Old City Hall	Mayor Nathan Phillips with Princess Margaret on platform at Old City Hall	Mayor Nathan Phillips with Princess Margaret on platform at Old City Hall	Mayor Nathan Phillips, Maurice "Rocket" Richard,   King Clancy and others look on as Clarence Campbell, president of the NHL, signs City's guest book, mayor's office, Old City Hall
86	Canadian Institute	Group by mural in entrance at official opening of Canadian Institute of Pharmacy building, 175 College Street	Group by mural in entrance at official opening of Canadian Institute of Pharmacy building, 175 College Street	Awards ceremony at official opening of Canadian Institute of Pharmacy building, 175 College Street	Canadian Institute of Sewage and Sanitation awards dinner at Royal York Hotel	Group by mural in entrance at official opening of Canadian Institute of Pharmacy building, 175 College Street
86	Maria Denagy	Maria Denagy sculpture	Maria Denagy sculpture in gallery	Maria Denagy sculpture	Maria Denagy sculpture	Maria Denagy sculpture
85	Frank Harmantas	Portrait photographs of bassist Sam Davis by Frank Harmantas	Portrait photographs of violinist Paul Thompson by Frank Harmantas	Portrait photographs of horn player Scott Wilson by Frank Harmantas	Portrait photographs of bassists Ruth Budd and Peter Madgett by Frank Harmantas	Portrait photographs of violinist Andrea Hansen by Frank Harmantas
85	Lake Shore	Illustration of proposed development along the Gardiner and Lake Shore	Illustration of proposed development along the Gardiner and Lake Shore	Lake Shore at Spadina [?] looking east	Lake Shore and York	Plan for north-west corner of Lake Shore and Woodbine
85	St. Lawrence Hall	Elevation of St. Lawrence Hall	View of the top of the front facade of St. Lawrence Hall from King Street	St. Lawrence Hall	View of St. Lawrence Hall and store fronts on King Street, looking east from Church Street	St. Lawrence Hall
85	Sherbourne St. Carriage House	Sherbourne St. Carriage House - west view along the Esplanade	Sherbourne St. Carriage House - view from Esplanade	Sherbourne St. Carriage House - view from Sherbourne, profile of the east side	Sherbourne St. Carriage House - view from the Esplanade, east from Frederick	Sherbourne St. Carriage House - view from Esplanade
84	Marjorie Laing	Woodbridge, dog Tinker climbing tree, Marjorie Laing at side	Holiday trip, Montreal, Marjorie Laing on dyke at Verdun	Holiday trip, Grande Anse, New Brunswick, Marjorie Laing getting lunch ready	Holiday trip, Montreal, Marjorie Laing and self, close	National Air Tour, Miss Peggy Shaw and Marjorie Laing
84	Toronto Bay	Text slide with Queens Quay Terminal and Toronto Bay	Iceboat and motorcycle race, Toronto Bay	Ice cutting on Toronto Bay	Toronto Bay - ice boats	Ice boat on Toronto Bay
83	Wellesley Station	Yonge Subway, Davisville Station to Wellesley Station	Wellesley Station under construction, street view	Yonge Subway, Davisville Station to Wellesley Station	Yonge Subway, Davisville Station to Wellesley Station	Yonge Subway, Davisville Station to Wellesley Station
82	Craig Tannery	Railway tracks looking east to Wickett and Craig Tannery on Cypress	Demolition of Wickett and Craig Tannery on Cypress looking south-east	Demolition of Wickett and Craig Tannery on Cypress looking south	Site of Wickett and Craig Tannery on Cypress looking north	Cleared site of Wickett and Craig Tannery on Cypress looking north
82	Toronto Harbour	View of CN Tower from Toronto Harbour	Toronto Harbour, sailing	Jack Kent Cooke's yacht "Nelvana" in Toronto Harbour	HMY Britannia departing from Toronto Harbour	Sailing in the Toronto Harbour
82	Varsity Stadium	Stewart Reburn and Sonie Henie, skating team, skating on rink in Varsity Stadium	Varsity Stadium looking north-east	William James Sr. with  movie camera, Varsity Stadium	Sonie Henie skating on rink in Varsity Stadium	Varsity Stadium looking north
81	Legal Department	Lake Shore Rd, at Church St, Mimico, south side, looking east, (Legal Department)	Sherbourne St, north of Duke St, looking south, case #462, Miss M. McAdam - fatal, (Legal Department)	Case 4295, Miss N. O'Connor, car #2432; photo taken at Roncesvalles Car House, July 13, 1935, 1:15 p.m., (Legal Department)	Case 569, Angelo Mele, looking north-east, on section of Bathurst St, opposite house #365; photo taken 11:25 a.m., January 25, 1936, (Legal Department)	Dundas St, looking east, to west approach of Dundas St bridge, at Sorauren Ave, (Legal Department)
81	CPR	CPR new equipment, solarium, interior	CPR new equipment, interior of new diner	CPR right-of-way at Weston Road and Junction Road Bell Telephone Company	Yonge Street, looking south to CPR station	Don section - looking north on CPR (?)
81	King West	Massey-Harris buildings on King West near Crawford	Springhurst Manor, 1447 King West, looking west	Springhurst Manor, 1447 King West, looking west	Springhurst Manor, 1447 King West, looking south	Looking north to Holiday Inn hotel on King West from top of a building south of Mercer
80	Royal York	Viaduct work, train sheds, Royal York background	Ferguson banquet, Royal York, head table	Panorama from Royal York	Ferguson banquet, Royal York, general, centre	Ferguson banquet, Royal York, head table
80	Royal Bank	Official opening of Royal Bank branch	Royal Bank, 1730 Jane St.	Looking northwest from the top of the Royal Bank building at King and Yonge streets	Official opening of Royal Bank branch	Royal Bank teller
79	McGill	Model of redevelopment of Granby and McGill at Yonge	Looking west on McGill to Yonge	Looking north from McGill to Granby	Model of redevelopment of McGill at Yonge	Model of redevelopment of Granby and McGill at Yonge
78	Niagara Falls	Honeymoon Bridge collapse, Niagara Falls	Toronto, Niagara Falls and Buffalo coach service, coach #31, (Motor Coach Department)	Daredevil "Red" Hill posing outside museum/gift shop, Niagara Falls, Ontario	Niagara Falls (Horseshoe Falls)	Niagara Falls, American falls from Goat Island
77	Skating Carnival	Skating Carnival, Miss Cecil Smith, full figure, side	Skating Carnival, Ann and Joan Taylor, pair	Skating Carnival, Wicked Witch, Cyril Capreol	Skating Carnival, Miss Cecil Smith, costume, head & shoulders	Skating Carnival, chickens, group of girls : Joan Walkie, Joyce Phillips, Elizabeth Henry, Gilliam Watson, Mary Anderson; back, Jane Morgan, Vivian Temple, Nora Hunter, Nancy Gurney
77	Toronto Symphony	Toronto Symphony 1970 piano competition	Toronto Symphony 1973 Christmas concert at Massey Hall with conductor Victor Feldbrill	Toronto Symphony 1990 Pacific Rim tour, leaving Singapore	Toronto Symphony reception for Japanese delegates	Luciano Pavarotti performance with the Toronto Symphony at Maple Leaf Gardens
76	Don Valley	Don Valley near Leaside Junction	Don Valley - Harold fishing	Don Valley	View of downtown Toronto, looking west from east side of Don Valley	Construction of the Don Valley parkway
75	Governor General Alexander	Colonel K.R. Marshall, President, CNE, Governor General Alexander, and other officials on steps of Administration Building at opening of CNE	Governor General Alexander in Council chamber at Old City Hall 	Governor General Alexander tours subway	Governor General Alexander and Lady Alexander view produce display at Royal Winter Fair	Toronto Men's Press Club members look on as Governor General Alexander plays cribbage
75	Don Incinerator	Don Incinerator - grading	Don Incinerator, looking east	Don Incinerator - furnace	Don Jail from roof of the Don Incinerator	Don Incinerator
74	University College	Avenue of trees leading to University College	King's College Road looking north to University College	University College, University of Toronto	University College looking north	University College, rear, University of Toronto campus
74	CNR	Cement shed, west side CNR	Closeup of Don Station (CNR), rear view	Hendrie and Co. Ltd. truck no. 233 and trailer no. 73 (CNR) at Port Credit CNR station	D.R. Clarke Engine Co., Ltd., 2462 Dufferin Street at Roselawn Avenue, north of CNR bridge, looking northwest	CNR train telephone, J.W. Burkholder, inventor, and W.P. Robb
73	A.S. Goss	A.S. Goss, wife and children, in garden of 53 Neville Park Boulevard	A.S Goss : Original negative by Unknown - Date: c1880. Copy negative by A.S. Goss - Date: 1915	Arthur S. Goss - portrait : original negative by A.S. Goss	Mary Ferguson Goss portrait : Original negative by A.S. Goss	Enid Goss, portrait : Original negative by A.S. Goss
72	Gray Coach Lines	Coaches, overseas passengers, Colonial Coach Lines, leaving Gray Coach Lines terminal, (Executive Department)	Gray Coach Lines, zone post, (Motor Coach Department)	Ford V8, Gray Coach Lines service (Motor Traffic Department)	Gray Coach Lines, White #530, (Garage Department)	Associated Equipment Company coach #602, Gray Coach Lines, (Executive Department)
72	Firstbrook Bros.	Demolition of Firstbrook Bros., 287 King St E. - view from Princess, south of King	Demolition of Firstbrook Bros., 287 King St E. - east wall on Ontario St	Demolition of Firstbrook Bros., 287 King St E. - view of southeast corner at Front	Demolition of Firstbrook Bros., 287 King St E. - view from Princess St	Demolition of Firstbrook Bros., 287 King St E. - view from Princess
70	Victoria Park	Electrical installations at Main, Warden, and Victoria Park stations	Electrical installations at Main, Warden, and Victoria Park stations	Electrical installations at Main, Warden, and Victoria Park stations	Warden, Victoria Park, and Islington subway stations	Electrical installations at Main, Warden, and Victoria Park stations
70	Scarborough Bluffs	Scarborough Bluffs	Scarborough Bluffs point	Scarborough Bluffs - various	Scarborough Bluffs - various	Scarborough Bluffs
70	Toronto Maple Leafs	Maple Leaf Gardens ice show performers with Toronto Maple Leafs hockey players and others	Performer in Maple Leaf Gardens' Ice Capades with members of Toronto Maple Leafs hockey club	Toronto Maple Leafs (baseball) season opener	Jack Kent Cooke's son with Toronto Maple Leafs baseball player, in dugout at Maple Leaf Stadium	Jack Kent Cooke, in his office, signs Mr. Murphy to Toronto Maple Leafs baseball club
68	Riverdale Zoo	Polar bear cubs, Riverdale Zoo	Riverdale Zoo, polar bear playing	Riverdale Zoo, two bears, wrestling	Riverdale Zoo, lemur with pipe	Riverdale Zoo, black bears boxing
68	Skating Club	Skating Club, Miss Cecil Smith, action	Skating Club, Montgomery Wilson, action	Skating Club, Jack Eastwood, Maud and Cecil Smith, Stewart Reburn, action	Skating Club, Montgomery Wilson, action	Skating Club, Stewart Reburn, action
67	Government House	Government House - Hon. Howard Ferguson at table	Government House - Colonel Price	Sir Joseph Flavelle at Government House garden party	Government House, Chorley Park, south entrance	Government House - Sir Adam Beck, signing papers
66	Hatter Sam Taft	Hatter Sam Taft with unidentified man	Hatter Sam Taft with unidentified man	Hatter Sam Taft with hockey player Bob Goldham	Hatter Sam Taft with musician Denny Vaughan	Hatter Sam Taft with Bob Hope
66	Massey Hall	Massey Hall	Massey Hall, Shuter Street	Massey Hall - northeast corner, Victoria at Shuter	Massey Hall - west side on Victoria St	Site for new Massey Hall - John St. Terminal, C.P. Express
66	Upper Canada College	Upper Canada College, J. E. A. Crake	Upper Canada College centenary, Lieutenant-Governor W.D. Ross arriving	Upper Canada College rugby team	Upper Canada College, King Street	Upper Canada College, Lieut. Col. W. A. McCrimmon, inspecting cadets
